text_incipit_standard Copy,composerStandard,positionMS,folio_start,folio_end,compositionKey,orderNo
Rubum quem,Christopher Tye,76,136,136,49484,54775
Susanne un jour d'amour solicite par deux viellards,"Orlande de Lassus (Roland, Orlandi di Lasso)",77,136,136,26119,54776
Madonna somm' acorto,Philippe Verdelot (Deslouges),78,137,137,49830,54777
Pour vous aymer,"Phillip Van Wilder (De Villdret; de Vuildre; Vanwilder, Van Wyllender; Welder; Wild; Wildroe; Wylde)",79,137,137,51243,54778
De la court,Robert Parsons (1),80,138,139,48880,54779
Je file quand Dieu,?Robert Parsons (1),81,140,140,38380,54780
In nomine III,Robert Parsons (1),82,141,141,48881,54781
In nomine V,Edmund Hooper,83,142,142,56553,54782
In nomine I,"Nicholas Strogers (Strowger, Strowgers)",84,143,143,49077,54783
In nomine III,"Nicholas Strogers (Strowger, Strowgers)",85,144,144,49078,54784
In nomine II,"Nicholas Strogers (Strowger, Strowgers)",86,145,145,49079,54785
In nomine,"John Bull (Jan, Jean, Boul; Bul; Bol; Bouville; Bonville)",87,146,146,50387,54786
In nomine V,Robert White (Whyte),88,147,147,48820,54787
In nomine XIV ('Follow me'),Christopher Tye,89,147,147,49485,54788
In nomine I,Clement Woodcock (Woodcoke; Woodecock),90,148,149,49791,54789
If that a sinner's sighs,William Byrd,91,150,150,48443,54790
If women could be fair,Edmund Hooper,92,151,151,48496,54791
"Prostrate, O Lord, I lie",William Byrd,93,152,152,48445,54792
Even from the depth unto thee,William Byrd,94,153,153,48446,54793
When I was otherwise than now,William Byrd,95,154,154,48447,54794
"In nomine I (a4, with added part)",Brewster (Brusser; Bruster; Brusters),96,155,156,49463,54795
"O God, wherefore art thou absent",no composer/anon,97,157,158,53760,54796
"Come, Holy Ghost/In nomine",no composer/anon,99,165,165,53761,54797
O Lord of whom I do depend/In nomine,no composer/anon,100,165,165,53762,54798
"O Lord, turn not away thy face/In nomine",no composer/anon,101,166,166,53763,54799
When May is in his prime,no composer/anon,102,166,169,53764,54800
"Ah, alas, you salt sea gods",Richard Farrant,103,170,171,48924,54801
A doleful deadly pang,"Nicholas Strogers (Strowger, Strowgers)",104,172,172,49080,54802
My little sweet darling,no composer/anon,105,172,172,53765,54803
"Ah, silly poor Joas",no composer/anon,106,173,173,53766,54804
In terrors trapp'd,no composer/anon,107,173,173,53767,54805
The saint I serve,no composer/anon,108,174,174,53768,54806
How can the tree,no composer/anon,109,174,174,53769,54807
"Alas, alack, my heart is woe",no composer/anon,110,175,175,53770,54808
"Lullaby, my sweet little baby",William Byrd,111,176,176,48448,54809
"O Lord, how vain",William Byrd,112,177,177,48449,54810
My mind to me a kingdom is,William Byrd,113,178,178,48450,54811
Who likes to love,William Byrd,114,178,178,48451,54812
Enforc'd by love and fear,Robert Parsons (1),115,179,179,48901,54813
Mistrust not truth,no composer/anon,116,180,180,53771,54814
The day delay'd,no composer/anon,117,180,180,53772,54815
Come tread the paths,no composer/anon,118,180,181,53773,54816
Triumph with pleasant melody,William Byrd,119,182,184,48452,54817
Blessed is he that fears the Lord,William Byrd,120,185,185,48453,54818
Blame I confess,William Byrd,121,185,185,48454,54819
"O Lord, within thy tabernacle",William Byrd,122,186,186,48455,54820
How shall a young man?,William Byrd,123,186,186,48456,54821
Though Amaryllis dance in green,William Byrd,124,187,187,48457,54822
La gamba,Vincenzo Ruffo,125,188,189,52134,54823
